Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Lawrence Butler,ATH,AL West,L,R,USA,25,RF,AL,West
José Buttó,SF,NL West,R,R,VEN,27,RP,NL,West
Byron Buxton,MIN,AL Central,R,R,USA,31,CF,AL,Central
Oswaldo Cabrera,NYY,AL East,S,R,VEN,26,3B,AL,East
José Caballero,NYY,AL East,R,R,PAN,28,SS,AL,East
Génesis Cabrera,PIT,NL Central,L,L,DOM,28,RP,NL,Central
Edward Cabrera,MIA,NL East,R,R,DOM,27,SP,NL,East
Jean Cabrera,PHI,NL East,R,R,VEN,23,SP,NL,East
Cade Smith,CLE,AL Central,R,R,CAN,26,RP,AL,Central
Cade Povich,BAL,AL East,L,L,USA,25,SP,AL,East
Cade Gibson,MIA,NL East,L,L,USA,27,RP,NL,East
Cade Horton,CHC,NL Central,R,R,USA,23,SP,NL,Central
Caden Dana,LAA,AL West,L,R,USA,21,RP,AL,West
Cade Cavalli,WSH,NL East,R,R,USA,26,SP,NL,East
Jac Caglianone,KC,AL Central,L,L,USA,22,RF,AL,Central
Owen Caissie,CHC,NL Central,L,R,CAN,23,RF,NL,Central
Caleb Thielbar,CHC,NL Central,R,L,USA,38,RP,NL,Central
Caleb Ferguson,SEA,AL West,R,L,USA,29,RP,AL,West
Cal Quantrill,MIA,NL East,L,R,CAN,30,SP,NL,East
Calvin Faucher,MIA,NL East,R,R,USA,29,RP,NL,East
Caleb Durbin,MIL,NL Central,R,R,USA,25,3B,NL,Central
Cal Stevenson,PHI,NL East,L,L,USA,28,CF,NL,East
Tyler Callihan,CIN,NL Central,L,R,USA,25,LF,NL,Central
Luis Campusano,SD,NL West,R,R,USA,26,C,NL,West
Junior Caminero,TB,AL East,R,R,DOM,22,3B,AL,East
Cam Smith,HOU,AL West,R,R,USA,22,RF,AL,West
Kristian Campbell,BOS,AL East,R,R,USA,23,2B,AL,East
Isaiah Campbell,BOS,AL East,R,R,PRT,27,RP,AL,East
Gustavo Campero,LAA,AL West,S,R,COL,27,RF,AL,West
Cam Devanney,PIT,NL Central,R,R,USA,28,SS,NL,Central
Noah Cameron,KC,AL Central,L,L,USA,26,SP,AL,Central
Cam Schlittler,NYY,AL East,R,R,USA,24,SP,AL,East
Mark Canha,KC,AL Central,R,R,USA,36,LF,AL,Central
Dominic Canzone,SEA,AL West,L,R,USA,27,RF,AL,West
Yennier Cano,BAL,AL East,R,R,CUB,31,RP,AL,East
Griffin Canning,NYM,NL East,R,R,USA,29,SP,NL,East
Joey Cantillo,CLE,AL Central,L,L,USA,25,SP,AL,Central
Jonathan Cannon,CWS,AL Central,R,R,USA,25,SP,AL,Central
Carlos Correa,HOU,AL West,R,R,PRI,30,SS,AL,West
Victor Caratini,HOU,AL West,S,R,PRI,31,C,AL,West
Carson Kelly,CHC,NL Central,R,R,USA,31,C,NL,Central
Dylan Carlson,BAL,AL East,S,L,USA,26,LF,AL,East
Carlos Estévez,KC,AL Central,R,R,DOM,32,RP,AL,Central
Corbin Carroll,AZ,NL West,L,L,USA,24,RF,NL,West
Carlos Carrasco,ATL,NL East,R,R,VEN,38,SP,NL,East
Kerry Carpenter,DET,AL Central,L,R,USA,27,RF,AL,Central
Carlos Rodón,NYY,AL East,L,L,USA,32,SP,AL,East
Carlos Hernández,CLE,AL Central,R,R,VEN,28,RP,AL,Central
Evan Carter,TEX,AL West,L,R,USA,22,CF,AL,West
Carson Fulmer,LAA,AL West,R,R,USA,31,RP,AL,West
Carlos Narváez,BOS,AL East,R,R,VEN,26,C,AL,East
Carmen Mlodzinski,PIT,NL Central,R,R,USA,26,RP,NL,Central
Carlos Vargas,SEA,AL West,R,R,DOM,25,RP,AL,West
Carlos Cortes,ATH,AL West,L,S,USA,28,LF,AL,West
Carson Spiers,CIN,NL Central,R,R,USA,27,SP,NL,Central
Carlos Rodríguez,ATL,NL East,L,L,VEN,24,RF,NL,East
Carson McCusker,MIN,AL Central,R,R,USA,27,RF,AL,Central
Carson Palmquist,COL,NL West,L,L,USA,24,SP,NL,West
Carson Seymour,SF,NL West,R,R,USA,26,RP,NL,West
Carlos Rodriguez,MIL,NL Central,R,R,NIC,23,RP,NL,Central
Dylan Cease,SD,NL West,R,R,USA,29,SP,NL,West
Slade Cecconi,CLE,AL Central,R,R,USA,26,SP,AL,Central
Cedric Mullins,NYM,NL East,L,L,USA,30,CF,NL,East
Ceddanne Rafaela,BOS,AL East,R,R,CUW,24,CF,AL,East
Eric Cerantola,KC,AL Central,R,R,CAN,25,SP,AL,Central
César Salazar,HOU,AL West,L,R,MEX,29,C,AL,West
Chas McCormick,HOU,AL West,R,L,USA,30,LF,AL,West
Charlie Morton,DET,AL Central,R,R,USA,41,SP,AL,Central
Chad Green,TOR,AL East,L,R,USA,34,RP,AL,East
Chase Meidroth,CWS,AL Central,R,R,USA,24,SS,AL,Central
Chandler Simpson,TB,AL East,L,R,USA,24,CF,AL,East
Chase Shugart,PIT,NL Central,L,R,USA,28,RP,NL,Central
Chase Lee,DET,AL Central,R,R,USA,26,RP,AL,Central
Chase Silseth,LAA,AL West,R,R,USA,25,SP,AL,West
Chad Patrick,MIL,NL Central,R,R,USA,26,SP,NL,Central
Chad Stevens,LAA,AL West,R,R,USA,26,SS,AL,West
Chase Dollander,COL,NL West,R,R,USA,23,SP,NL,West
Chase Petty,CIN,NL Central,R,R,USA,22,SP,NL,Central
Chayce McDermott,BAL,AL East,L,R,USA,26,SP,AL,East
Tsung-Che Cheng,PIT,NL Central,L,R,TWN,24,SS,NL,Central
Jazz Chisholm Jr.,NYY,AL East,L,R,BHS,27,2B,AL,East
Jackson Chourio,MIL,NL Central,R,R,VEN,21,CF,NL,Central
Chris Taylor,LAA,AL West,R,R,USA,34,CF,AL,West
Christian Vázquez,MIN,AL Central,R,R,PRI,34,C,AL,Central
Christian Walker,HOU,AL West,R,R,USA,34,1B,AL,West
Christopher Morel,TB,AL East,R,R,DOM,26,LF,AL,East
Chris Martin,TEX,AL West,R,R,USA,39,RP,AL,West
Chris Sale,ATL,NL East,L,L,USA,36,SP,NL,East
Chris Devenski,NYM,NL East,R,R,USA,34,RP,NL,East
Chris Flexen,CHC,NL Central,R,R,USA,31,RP,NL,Central
Christian Encarnacion-Strand,CIN,NL Central,R,R,USA,25,1B,NL,Central
Chris Paddack,DET,AL Central,R,R,USA,29,SP,AL,Central
Christian Koss,SF,NL West,R,R,USA,27,2B,NL,West
Chris Roycroft,STL,NL Central,R,R,USA,28,RP,NL,Central
Christian Moore,LAA,AL West,R,R,USA,22,2B,AL,West
Chris Murphy,BOS,AL East,L,L,USA,27,RP,AL,East
Christian Montes De Oca,AZ,NL West,R,R,DOM,25,RP,NL,West
Christian Scott,NYM,NL East,R,R,USA,26,SP,NL,East
Marc Church,TEX,AL West,R,R,USA,24,RP,AL,West
Clayton Kershaw,LAD,NL West,L,L,USA,37,SP,NL,West
Emmanuel Clase,CLE,AL Central,R,R,DOM,27,RP,AL,Central
Clay Holmes,NYM,NL East,R,R,USA,32,SP,NL,East
Taylor Clarke,KC,AL Central,R,R,USA,32,RP,AL,Central
Clarke Schmidt,NYY,AL East,R,R,USA,29,SP,AL,East
Jonatan Clase,TOR,AL East,S,R,DOM,23,LF,AL,East
Denzel Clarke,ATH,AL West,R,R,CAN,25,CF,AL,West
Ernie Clement,TOR,AL East,R,R,USA,29,3B,AL,East
Kody Clemens,MIN,AL Central,L,R,USA,29,2B,AL,Central
