Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Bryan Hudson,MIL,NL Central,L,L,USA,28,RP,NL,Central,35.3214550853749
Ryan Weathers,MIA,NL East,R,L,USA,25,SP,NL,East,35.32887899034894
Brandyn Garcia,AZ,NL West,L,L,USA,25,RP,NL,West,35.33481811432812
Brad Lord,WSH,NL East,R,R,USA,25,SP,NL,East,35.47884187082407
Grant Wolfram,BAL,AL East,L,L,USA,28,RP,AL,East,35.507052709725365
Justin Bruihl,TOR,AL East,L,L,USA,28,RP,AL,East,35.51744617668895
Brendon Little,TOR,AL East,L,L,USA,28,RP,AL,East,35.51744617668895
Mike Vasil,CWS,AL Central,L,R,USA,25,RP,AL,Central,35.5308092056422
Cody Bradford,TEX,AL West,L,L,USA,27,SP,AL,West,35.67631774313289
Cooper Criswell,BOS,AL East,R,R,USA,29,RP,AL,East,35.75798069784706
Garrett Whitlock,BOS,AL East,R,R,USA,29,RP,AL,East,35.75798069784706
Corbin Martin,BAL,AL East,R,R,USA,29,RP,AL,East,35.82925018559763
Scott Blewett,BAL,AL East,R,R,USA,29,RP,AL,East,35.82925018559763
Connor Seabold,TB,AL East,R,R,USA,29,RP,AL,East,35.83370452858203
Jacob Lopez,ATH,AL West,L,L,USA,27,SP,AL,West,35.84409799554566
Ken Waldichuk,ATH,AL West,L,L,USA,27,SP,AL,West,35.84409799554566
Allan Winans,NYY,AL East,R,R,USA,29,RP,AL,East,35.89903489235337
Jake Bird,NYY,AL East,R,R,USA,29,RP,AL,East,35.89903489235337
Emmet Sheehan,LAD,NL West,R,R,USA,25,SP,NL,West,36.262806236080195
Ty Madden,DET,AL Central,R,R,USA,25,SP,AL,Central,36.28656273199705
Ryan Bergert,KC,AL Central,R,R,USA,25,SP,AL,Central,36.32962138084634
Connor Brogdon,LAA,AL West,R,R,USA,30,RP,AL,West,36.42464736451373
David Festa,MIN,AL Central,R,R,USA,25,SP,AL,Central,36.452858203415005
Zebby Matthews,MIN,AL Central,R,R,USA,25,SP,AL,Central,36.452858203415005
Pierson Ohl,MIN,AL Central,R,R,USA,25,SP,AL,Central,36.452858203415005
Shane Smith,CWS,AL Central,R,R,USA,25,SP,AL,Central,36.50779510022272
Jonathan Cannon,CWS,AL Central,R,R,USA,25,SP,AL,Central,36.50779510022272
Sean Burke,CWS,AL Central,R,R,USA,25,SP,AL,Central,36.50779510022272
Colton Gordon,HOU,AL West,L,L,USA,26,SP,AL,West,36.51224944320716
Nick Hernandez,HOU,AL West,R,R,USA,30,RP,AL,West,36.524127691165546
Joey Wentz,ATL,NL East,L,L,USA,27,SP,NL,East,36.538975501113626
Will Vest,DET,AL Central,R,R,USA,30,RP,AL,Central,36.55530809205641
Hunter Harvey,KC,AL Central,R,R,USA,30,RP,AL,Central,36.58054936896806
Thomas Hatch,KC,AL Central,R,R,USA,30,RP,AL,Central,36.58054936896806
Nick Lodolo,CIN,NL Central,L,L,USA,27,SP,NL,Central,36.60133630289539
Zack Thompson,STL,NL Central,L,L,USA,27,SP,NL,Central,36.66963622865632
Anthony Misiewicz,MIN,AL Central,R,L,USA,30,RP,AL,Central,36.69933184855233
Steven Wilson,CWS,AL Central,R,R,USA,30,RP,AL,Central,36.71417965850036
Griffin Canning,NYM,NL East,R,R,USA,29,SP,NL,East,36.74536005939124
Brad Keller,CHC,NL Central,R,R,USA,30,RP,NL,Central,36.798812175204176
Isaac Mattson,PIT,NL Central,R,R,USA,30,RP,NL,Central,36.81811432813661
Garrett Crochet,BOS,AL East,L,L,USA,26,SP,AL,East,36.81811432813662
Riley O'Brien,STL,NL Central,R,R,USA,30,RP,NL,Central,36.83593170007424
Janson Junk,MIA,NL East,R,R,USA,29,SP,NL,East,36.910170749814405
Brandon Walter,HOU,AL West,L,L,USA,28,SP,AL,West,36.92947290274686
Zack Littell,CIN,NL Central,R,R,USA,29,SP,NL,Central,36.96807720861175
Chayce McDermott,BAL,AL East,L,R,USA,26,SP,AL,East,36.98440979955462
Mitch Keller,PIT,NL Central,R,R,USA,29,SP,NL,Central,36.99183370452858
Tanner Gordon,COL,NL West,L,R,USA,27,SP,NL,West,36.99331848552343
Andrew Abbott,CIN,NL Central,L,L,USA,26,SP,NL,Central,37.00519673348189
Trevor Rogers,BAL,AL East,L,L,USA,27,SP,AL,East,37.03192279138831
Jason Foley,DET,AL Central,R,R,USA,29,SP,AL,Central,37.085374907201185
Alex Lange,DET,AL Central,R,R,USA,29,SP,AL,Central,37.085374907201185
Chris Paddack,DET,AL Central,R,R,USA,29,SP,AL,Central,37.085374907201185
Jack Flaherty,DET,AL Central,R,R,USA,29,SP,AL,Central,37.085374907201185
Robert Gasser,MIL,NL Central,L,L,USA,26,SP,NL,Central,37.089829250185694
PJ Poulin,DET,AL Central,R,L,USA,29,SP,AL,Central,37.11804008908686
Kyle Wright,KC,AL Central,R,R,USA,29,SP,AL,Central,37.13437268002969
Dane Dunning,ATL,NL East,R,R,USA,30,RP,NL,East,37.19227913882703
Tyler Zuber,MIA,NL East,R,R,USA,30,RP,NL,East,37.24276169265033
Lake Bachar,MIA,NL East,R,R,USA,30,RP,NL,East,37.24276169265033
Anthony Bender,MIA,NL East,R,R,USA,30,RP,NL,East,37.24276169265033
Joe Ryan,MIN,AL Central,R,R,USA,29,SP,AL,Central,37.24870081662953
Evan Phillips,LAD,NL West,R,R,USA,30,RP,NL,West,37.25018559762436
Andrew Nardi,MIA,NL East,L,L,USA,26,SP,NL,East,37.27097253155165
Max Meyer,MIA,NL East,L,R,USA,26,SP,NL,East,37.27394209354125
Connor Phillips,CIN,NL Central,R,R,USA,24,RP,NL,Central,37.322939866369715
Zac Gallen,AZ,NL West,R,R,USA,29,SP,NL,West,37.38233110616184
Cole Ragans,KC,AL Central,L,L,USA,27,SP,AL,Central,37.39569413511513
Kris Bubic,KC,AL Central,L,L,USA,27,SP,AL,Central,37.39569413511513
MacKenzie Gore,WSH,NL East,L,L,USA,26,SP,NL,East,37.42538975501118
Thomas Harrington,PIT,NL Central,R,R,USA,24,RP,NL,Central,37.435783221974766
Ron Marinaccio,SD,NL West,R,R,USA,30,RP,NL,West,37.4402375649592
Tyler Owens,DET,AL Central,R,R,USA,24,RP,AL,Central,37.48478099480327
Dugan Darnell,COL,NL West,L,R,USA,28,SP,NL,West,37.5278396436526
Orion Kerkering,PHI,NL East,R,R,USA,24,RP,NL,East,37.52932442464738
Zach Penrod,LAD,NL West,L,L,USA,28,SP,NL,West,37.556050482553864
Landon Knack,LAD,NL West,L,R,USA,28,SP,NL,West,37.5753526354863
Sean Guenther,DET,AL Central,L,L,USA,29,RP,AL,Central,37.58277654046031
Tyler Holton,DET,AL Central,L,L,USA,29,RP,AL,Central,37.58277654046031
Dylan Cease,SD,NL West,R,R,USA,29,SP,NL,West,37.60653303637715
JP Sears,SD,NL West,R,L,USA,29,SP,NL,West,37.60950259836677
Marc Church,TEX,AL West,R,R,USA,24,RP,AL,West,37.65998515219006
Ben Joyce,LAA,AL West,R,R,USA,24,RP,AL,West,37.74164810690422
Easton Lucas,TOR,AL East,L,L,USA,28,SP,AL,East,37.75649591685235
Shane McClanahan,TB,AL East,L,L,USA,28,SP,AL,East,37.75798069784717
Patrick Sandoval,BOS,AL East,L,L,USA,28,SP,AL,East,37.76391982182636
Andrew Walters,CLE,AL Central,R,R,USA,24,RP,AL,Central,37.79064587973277
Greg Weissert,BOS,AL East,R,R,USA,30,RP,AL,East,37.798069784706755
Zack Kelly,BOS,AL East,R,R,USA,30,RP,AL,East,37.798069784706755
Gus Varland,CWS,AL Central,L,R,USA,28,SP,AL,Central,37.808463251670396
Davis Martin,CWS,AL Central,L,R,USA,28,SP,AL,Central,37.808463251670396
Bobby Miller,LAD,NL West,L,R,USA,26,SP,NL,West,37.86785449146255
Kutter Crawford,BOS,AL East,R,R,USA,29,SP,AL,East,37.90051967334818
Tanner Houck,BOS,AL East,R,R,USA,29,SP,AL,East,37.90051967334818
Bryan Baker,TB,AL East,R,R,USA,30,RP,AL,East,37.900519673348185
Griffin Jax,TB,AL East,R,R,USA,30,RP,AL,East,37.900519673348185
Bowden Francis,TOR,AL East,R,R,USA,29,SP,AL,East,37.934669636228655
Devin Williams,NYY,AL East,R,R,USA,30,RP,AL,East,37.94060876020789
Ian Hamilton,NYY,AL East,R,R,USA,30,RP,AL,East,37.94060876020789
Alex Faedo,TB,AL East,R,R,USA,29,SP,AL,East,37.9510022271715
Tom Cosgrove,CHC,NL Central,L,L,USA,29,RP,NL,Central,37.985152190052034
Dean Kremer,BAL,AL East,R,R,USA,29,SP,AL,East,37.998515219005206
