Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Caleb Thielbar,CHC,NL Central,R,L,USA,38,RP,NL,Central,71.29918337045288
Caleb Ferguson,SEA,AL West,R,L,USA,29,RP,AL,West,34.242019302152954
Cal Quantrill,MIA,NL East,L,R,CAN,30,SP,NL,East,73.351150705271
Calvin Faucher,MIA,NL East,R,R,USA,29,RP,NL,East,34.79138827023016
Caleb Durbin,MIL,NL Central,R,R,USA,25,3B,NL,Central,51.9524870081663
Cal Stevenson,PHI,NL East,L,L,USA,28,CF,NL,East,55.734224201930274
Tyler Callihan,CIN,NL Central,L,R,USA,25,LF,NL,Central,57.276911655530846
Luis Campusano,SD,NL West,R,R,USA,26,C,NL,West,49.00965107646623
Junior Caminero,TB,AL East,R,R,DOM,22,3B,AL,East,117.43132887899039
Cam Smith,HOU,AL West,R,R,USA,22,RF,AL,West,92.45137342242022
Kristian Campbell,BOS,AL East,R,R,USA,23,2B,AL,East,73.08240534521161
Isaiah Campbell,BOS,AL East,R,R,PRT,27,RP,AL,East,53.913882702301436
Gustavo Campero,LAA,AL West,S,R,COL,27,RF,AL,West,113.53823311061619
Cam Devanney,PIT,NL Central,R,R,USA,28,SS,NL,Central,51.740163325909435
Noah Cameron,KC,AL Central,L,L,USA,26,SP,AL,Central,38.530066815144856
Cam Schlittler,NYY,AL East,R,R,USA,24,SP,AL,East,41.496659242761666
