Name,possible_num_remaining_players
Cooper Criswell,[ 21  28 113 ...  24  12  25]
Corey Seager,[84  7 41 ... 59 59 64]
Patrick Corbin,[178  44  49 ...  27  60  74]
Corey Julks,[143  27  99 ...  28  27  30]
Nestor Cortes,[102  26  27 ...   5   8  20]
Corbin Martin,[ 21  28 113 ...  24  12  25]
Kenedy Corona,[200  34 130 ...  34   5   5]
Jose Corniell,[221  44  45 ...   4  70  18]
Tom Cosgrove,[ 72  29 109 ...  29  21  37]
Danny Coulombe,[ 17  24 121 ...  48  48  74]
Jake Cousins,[ 6 10 21 ... 13 27 38]
J.P. Crawford,[167  18  64 ...  48  36  54]
Kutter Crawford,[16 45 55 ... 15 20 24]
Craig Yoho,[68 24 93 ... 23 28 35]
Dylan Crews,[10 21 64 ... 14 78 21]
Cristian Javier,[128  22  36 ...  20  10  51]
Cristopher Sánchez,[133  12   4 ...  21   9  40]
Blaine Crim,[123  27  85 ...  37  14  43]
Jeff Criswell,[66 34 35 ...  3  9  9]
Cristian Mena,[142  42 188 ...   3   5   5]
Jake Cronenworth,[61  9 61 ... 14 14 14]
Pete Crow-Armstrong,[151  74 218 ...  12   5   3]
Garrett Crochet,[32 33 39 ...  7 19 23]
Declan Cronin,[92 11 11 ... 16 31 33]
Oneil Cruz,[136  48 183 ...  44   6   5]
Fernando Cruz,[  3  42 239 ...  41  41  68]
Steven Cruz,[122  15  81 ...  18  18  27]
Omar Cruz,[ 94  27 156 ...   7   7   9]
John Curtiss,[22 17 10 ...  6  6 18]
Curtis Mead,[249  53 162 ...   9  53   8]
Luis Curvelo,[146  27  88 ...   6  39   8]
Yoniel Curet,[61 68 83 ...  3 46  8]
Dairon Blanco,[84 16 16 ... 46  6  5]
Dalton Rushing,[133  69 172 ...   4  20   1]
Danny Jansen,[99 36 82 ... 53 36 53]
Daniel Schneemann,[143  31  82 ...  31   6  23]
Dane Myers,[140  11  40 ...  44   4   4]
Dane Dunning,[112   3  19 ...  29  21  53]
Daniel Lynch IV,[107  12  53 ...  19   4  23]
Daniel Johnson,[108  23  89 ...   8   1   1]
Daniel Palencia,[ 97  27 120 ...  27  32  43]
Danny Young,[47  2 13 ... 31 31 54]
Daniel Robert,[118   6   7 ...  27  20  47]
Davis Daniel,[92  3  9 ... 18  9 36]
Daniel Espino,[207  40  44 ...   3  40   8]
Yu Darvish,[186  80 101 ...  10  22  25]
Darell Hernaiz,[292  65 186 ...  22  87  30]
Michael Darrell-Hicks,[60 16 73 ... 27 20 39]
Dugan Darnell,[57 30 43 ...  6  2 11]
DaShawn Keirsey Jr.,[151  27  83 ...  27   2   2]
Daulton Varsho,[ 24  49 166 ...  31   2   3]
Dauri Moreta,[94 46 70 ... 20 46 58]
David Fry,[142  29  98 ...  26  29  31]
Davis Schneider,[ 43  40 135 ...  25  25  28]
David Hamilton,[ 35  42 137 ...  34  23  19]
Henry Davis,[106  52 139 ...  38  52  34]
David Peterson,[104  12  14 ...  19  29  33]
Logan Davidson,[155  36 101 ...  44  42 155]
Davis Martin,[112  19  21 ...  12   5  24]
Noah Davis,[105  12  48 ...  19   4  28]
David Festa,[126  26  25 ...   7  26  22]
David Morgan,[69 28 96 ...  5 11 10]
Dax Fulton,[169  15  20 ...   6  52  18]
Daysbel Hernández,[128   2  34 ...  27   6  54]
Daylen Lile,[11 21 71 ...  6 84  7]
Dean Kremer,[16 45 55 ... 15 20 24]
Dedniel Núñez,[141  10  34 ...  34  21  55]
Jacob deGrom,[187  46  50 ...  27  63  75]
Paul DeJong,[69  6 22 ... 61 61 72]
Dennis Santana,[ 97  30 148 ...  37  23  60]
Derek Law,[27 20  4 ... 22 56 79]
Derek Hill,[140  11  40 ...  44   4   4]
Anthony DeSclafani,[ 12  32 166 ...   6   6  22]
Reid Detmers,[89 14 65 ... 27 27 39]
Rafael Devers,[127  48 200 ...  16   3   2]
Devin Williams,[ 7 16 55 ... 23 13 31]
Devin Sweet,[123  10   3 ...  20  10 123]
Deyvison De Los Santos,[291  25  79 ...   9  96  15]
Zach Dezenzo,[156  30  99 ...  27  49  41]
Yandy Díaz,[ 1 22 83 ... 51 51 68]
Elias Díaz,[34 89 42 ... 25 25 23]
Edwin Díaz,[63  2 14 ... 38 38 93]
Yainer Diaz,[170  34 108 ...  51  51  54]
Jhonathan Díaz,[133  14  94 ...  28   7  40]
Yilber Díaz,[101  37 140 ...   2   3   2]
Didier Fuentes,[295   7  24 ...  33  75 116]
Dietrich Enns,[ 7 34 22 ... 31 31 33]
Dillon Dingler,[142  32  75 ...  26  26  21]
DJ Herz,[137  17  13 ...   3  48   4]
DL Hall,[68 19 86 ... 26 26 33]
Hunter Dobbins,[32 41 41 ...  7 27 21]
Dylan Dodd,[89  2 20 ... 25 21 27]
Dominic Smith,[107  24  91 ...   9  12   3]
Seranthony Domínguez,[32 18 67 ... 25 15 42]
Dom Nuñez,[165  26  59 ...  30  26  29]
Jasson Domínguez,[ 25 109 356 ...   7  73  43]
Domingo Gonzalez,[149   3  12 ...  10  41  46]
Donovan Solano,[376  73 245 ... 100 100 125]
Doug Nikhazy,[138  26  26 ...   7  26  16]
